placa,cd_modelo,chassi,ano,cor
"BOD9868   ",89,91719564005,2014,VERDE
"XMV9611   ",6,67558522684,2003,BRANCO
"GIL6439   ",94,99236092792,2015,CINZA
"RIF6846   ",25,65886596777,2022,CHUMBO
"IML2285   ",48,26864731119,2017,CHUMBO
"RJJ2906   ",52,53461404286,2022,PRETO
"APM8090   ",49,50023539700,2008,AMARELO
"QYO1086   ",92,28832655983,2022,CHUMBO
"OMQ8620   ",52,55721510986,2021,PRETO
"TPP2388   ",36,63139454089,2014,CHUMBO
"VRR1699   ",32,58645284267,2023,CINZA
"VKO3003   ",54,79985773142,2003,CINZA
"ZVZ9884   ",10,13356238969,2016,PRATA
"YJZ6420   ",39,18980760432,2005,CHUMBO
"DVK1592   ",43,90310186595,2006,CINZA
"QSO4588   ",29,40624842519,2018,PRETO
"UXO7643   ",83,43969837458,2016,VERMELHO
"TTM4660   ",22,23126360000,2015,BRANCO
"PUN5622   ",24,61429875623,2001,BRANCO
"TNT0666   ",54,90154519184,2024,VERMELHO
"OTX1863   ",63,35798505828,2013,BRANCO
"VLC0968   ",90,54647814600,2000,VERDE
"OCA3584   ",1,62823467981,2010,BRANCO
"KFM0142   ",78,22235982881,2010,CHUMBO
"WJA9279   ",6,40823617849,2020,PRETO
"XUY7144   ",17,36348386896,2005,CHUMBO
"DSW5517   ",51,57996841822,2022,PRATA
"WBX0580   ",20,90978921796,2015,VERDE
"OVT8807   ",89,88984037671,2024,PRETO
"IQE6569   ",84,68590028844,2010,CHUMBO
"NEK3188   ",77,12067427528,2020,CINZA
"VVT7183   ",27,84931061573,2006,AMARELO
"GEN0355   ",93,97864084128,2004,BRANCO
"PIE5425   ",42,43689410738,2024,CHUMBO
"EUT6973   ",44,41039031761,2003,PRATA
"QQV3000   ",24,78063084280,2003,CHUMBO
"WAV9614   ",18,96338676490,2018,PRATA
"WTC1082   ",12,49631097935,2008,PRATA
"QLW2696   ",61,92267017716,2003,CHUMBO
"GKO0708   ",4,27283201795,2024,AMARELO
"BKV5739   ",8,13718179533,2013,CHUMBO
"MRA3419   ",88,17133667705,2019,VERMELHO
"EUC1505   ",91,91140478332,2006,CINZA
"RCN7012   ",39,16949742132,2021,PRATA
"QDX4920   ",40,45023771747,2022,CHUMBO
"KSG2650   ",13,75099700931,2015,VERMELHO
"EOI1952   ",59,11424412281,2018,CHUMBO
"ZJL8877   ",27,39979454942,2004,AMARELO
"HUW1808   ",42,98977080745,2018,CHUMBO
"YUL3818   ",41,58505526170,2020,VERDE
"BGQ4113   ",69,70191061786,2010,BRANCO
"WMT2469   ",49,73261365533,2010,AMARELO
"ULC0777   ",80,90577386252,2020,VERMELHO
"LDT2734   ",39,11084037014,2014,AMARELO
"SVK9616   ",16,88598166648,2007,VERMELHO
"GLY3305   ",79,46759534818,2008,CHUMBO
"WIA1802   ",76,75832572278,2010,PRATA
"MSJ1166   ",62,29480457380,2011,CHUMBO
"CBC5108   ",32,86541724358,2020,CINZA
"XUK5585   ",27,70859949454,2007,VERMELHO
"IXG1981   ",37,56499903235,2013,CHUMBO
"VQJ7052   ",73,27486862811,2003,CINZA
"GGW3107   ",78,40014585804,2018,CINZA
"YBW6694   ",49,31488127721,2024,CHUMBO
"KLG5342   ",83,72267691597,2023,CINZA
"DTU2756   ",74,75790375890,2021,VERMELHO
"LFC8886   ",99,31903063036,2019,CINZA
"ZZJ9388   ",98,32370609463,2006,CHUMBO
"XTT0668   ",16,41897338124,2009,CHUMBO
"KJL0871   ",58,86428103634,2003,CHUMBO
"VIH9454   ",88,95983809625,2011,CINZA
"GHU3951   ",80,47112096618,2024,PRETO
"SBZ4045   ",51,30480315652,2014,CHUMBO
"YNL8359   ",85,96856308604,2021,PRATA
"NXT8347   ",99,16689574179,2017,CHUMBO
"LDU6731   ",42,86929053875,2016,VERMELHO
"WIO2660   ",55,56962067139,2013,CHUMBO
"EEX1328   ",32,38596290049,2020,CINZA
"FAA5121   ",13,93788763258,2009,CHUMBO
"PMQ1374   ",67,50345244026,2000,CHUMBO
"SXH3622   ",48,41170396345,2001,AMARELO
"ASI7759   ",1,58472048052,2015,CHUMBO
"YOK8488   ",55,92211512542,2008,PRATA
"BWC4703   ",66,48407419038,2007,BRANCO
"LOI9549   ",73,30699087354,2020,CHUMBO
"YMZ9287   ",12,26745737637,2008,CHUMBO
"RJS1010   ",17,35447345985,2011,CHUMBO
"PVD8038   ",27,81619910789,2017,CINZA
"TNN5352   ",82,27211106404,2000,VERMELHO
"TYR5295   ",24,12803623640,2007,PRETO
"MSG6579   ",49,96335172352,2010,CINZA
"UIA8486   ",37,12982004082,2010,CHUMBO
"QRF3894   ",14,27377470213,2003,VERMELHO
"ULY3324   ",15,34526865512,2001,BRANCO
"QGQ5007   ",6,58284614903,2018,PRATA
"HEV4771   ",12,23291890019,2000,BRANCO
"DUB2455   ",97,50056161733,2014,PRATA
"SDV6892   ",4,11556617781,2012,BRANCO
"EPF9254   ",6,54636563152,2013,CHUMBO
"DHX2192   ",51,11379750776,2022,BRANCO
"DEY3923   ",74,92999900043,2020,CINZA
"EHT2858   ",95,16991235152,2019,CHUMBO
"IAL2591   ",68,39464635124,2021,VERMELHO
"SWY0322   ",63,65119525043,2010,CHUMBO
"HJX1706   ",31,74257134148,2012,VERMELHO
"RCX7278   ",87,99249798126,2016,CHUMBO
"ENU0528   ",48,55187410151,2014,PRETO
"VVU1472   ",56,94350163953,2005,CINZA
"TWC2076   ",39,50869748337,2021,VERMELHO
"WXK5219   ",73,67191472764,2002,CINZA
"PIN0705   ",65,95049363811,2007,BRANCO
"YQT0904   ",11,92957989687,2013,AMARELO
"AKW6787   ",65,14574205096,2018,PRETO
"FES6123   ",48,43785243093,2015,PRATA
"FBR1579   ",57,82839240652,2001,CINZA
"SUE6086   ",45,61088669374,2007,BRANCO
"XXW9772   ",26,52139841605,2018,BRANCO
"YHM1742   ",82,31658294525,2004,BRANCO
"ERF3213   ",17,57353110006,2006,PRETO
"UME7412   ",67,86846109199,2019,PRATA
"HBG4784   ",57,97372217985,2009,CHUMBO
"TCC7490   ",21,88286672738,2005,VERMELHO
"NUJ0103   ",84,19103353439,2017,CHUMBO
"XKJ5498   ",22,27750182235,2011,BRANCO
"QIV4400   ",99,25460734262,2016,CHUMBO
"VYY7717   ",9,97239313100,2007,PRATA
"GCP1573   ",88,44552147776,2000,PRETO
"VMH9690   ",6,83280909293,2010,PRETO
"UYC9945   ",58,15872346015,2007,CHUMBO
"PYV9035   ",1,69033570883,2017,CHUMBO
"EBZ4547   ",86,33276458444,2015,CHUMBO
"MSQ9265   ",44,49593753161,2021,AMARELO
"FEN6490   ",5,21051709031,2012,CHUMBO
"DBB1537   ",44,23523832793,2018,BRANCO
"AND1582   ",75,28299047039,2020,CINZA
"RNO9658   ",39,35150393588,2002,CHUMBO
"VQB0173   ",12,41407334650,2015,PRATA
"ZRG7687   ",49,91581706211,2003,VERDE
"AMS1807   ",97,56124864648,2013,BRANCO
"EAP3663   ",4,38871240871,2019,PRATA
"WUJ4773   ",61,42845788296,2012,CINZA
"DGW6032   ",6,99093555340,2017,BRANCO
"RWQ0693   ",33,28863422262,2014,BRANCO
"NTV0390   ",17,91316839656,2001,CHUMBO
"OVG5399   ",44,86447153354,2005,VERDE
"CXP8973   ",16,75516915454,2024,CHUMBO
"JGC4918   ",96,37810049279,2012,BRANCO
"ZIY0784   ",49,56250796922,2009,CHUMBO
"KMJ1198   ",19,78796674584,2008,VERDE
"IUO7548   ",54,90495160576,2009,BRANCO
"PFZ2105   ",20,79923538389,2015,CHUMBO
"SIZ1923   ",39,57822591354,2021,CINZA
"MGI0643   ",68,65279070299,2019,CHUMBO
"LKJ8466   ",3,17801123450,2015,PRETO
"JWD4263   ",61,17262042465,2013,PRETO
"DWQ5816   ",6,84754784445,2024,CINZA
"GTM8014   ",51,73975192776,2002,PRETO
"TTW0049   ",32,61105696373,2004,PRATA
"VIV8383   ",55,81928402637,2019,CHUMBO
"RIF1859   ",95,19340371664,2024,CHUMBO
"FNI8440   ",89,51940900732,2000,CHUMBO
"ACN4400   ",72,91485042874,2006,BRANCO
"HHG2668   ",19,83323476999,2024,VERMELHO
"TQH7691   ",50,42791663412,2001,PRATA
"LUT5099   ",59,13863816278,2006,BRANCO
"DGD4338   ",58,39100604617,2010,VERMELHO
"ZDA5769   ",37,33970600661,2010,CHUMBO
"VYN6669   ",78,80135466896,2013,CINZA
"XLO0335   ",12,17983683528,2012,CINZA
"TAY2571   ",83,36758595447,2003,CHUMBO
"RRQ3450   ",85,71756145416,2006,CHUMBO
"WTO3641   ",67,68513801216,2014,BRANCO
"ROM0519   ",23,34984696643,2021,AMARELO
"ZRT4987   ",11,30955368283,2023,CHUMBO
"TOR7924   ",32,39749467834,2003,PRATA
"EGZ9746   ",62,71408877961,2013,PRATA
"MDX9466   ",75,67774039316,2008,BRANCO
"KPR7456   ",65,92586613490,2018,PRATA
"UGP9165   ",69,37465834723,2020,PRATA
"QFF0694   ",12,62723037985,2017,CHUMBO
"DDM8571   ",76,34598046773,2013,BRANCO
"BML8629   ",5,46873240200,2012,BRANCO
"XOA8798   ",96,54510694036,2016,CHUMBO
"APL0577   ",11,46529269012,2004,CINZA
"DOR4359   ",84,18111168171,2019,CHUMBO
"RVV3580   ",69,96434010876,2001,CINZA
"JIP0733   ",91,11064076853,2004,PRETO
"TBN9637   ",6,66337110128,2014,CHUMBO
"EXD6288   ",55,17535905233,2004,AMARELO
"ZFV9935   ",7,41297842432,2012,CHUMBO
"RDW4042   ",55,55739415445,2001,CHUMBO
"BEV0547   ",46,57107459719,2013,PRATA
"BZE6583   ",91,13171023128,2010,CINZA
"BTO9524   ",19,25614496508,2020,PRETO
"COD1883   ",7,63550854630,2019,PRATA
"AKJ6741   ",70,23011700632,2015,CHUMBO
"AGQ7559   ",42,34698927926,2017,BRANCO
"LIJ0510   ",45,33325512528,2022,PRATA
"LTQ1442   ",4,16770764857,2005,CHUMBO
"KFY3617   ",60,22039865243,2002,PRATA
"GMN3394   ",21,87833659442,2003,CINZA
"SRM8484   ",6,55936860273,2001,PRATA
"RRS6502   ",68,53937275117,2021,CHUMBO
"OQA8580   ",18,95611439249,2003,AMARELO
"KZY3268   ",16,18195620206,2024,CHUMBO
"QMX0056   ",18,74986050829,2008,CHUMBO
"TAJ7001   ",29,91771973532,2024,BRANCO
"QFN5817   ",35,76266250241,2005,BRANCO
"WJY5954   ",92,49558269714,2021,VERMELHO
"DRH9466   ",51,53186294584,2000,CHUMBO
"OLK0185   ",74,12505247284,2008,CHUMBO
"HIJ2643   ",86,24549022224,2006,CHUMBO
"LCH1679   ",80,91215959258,2024,CINZA
"UTG9579   ",97,18013470507,2020,BRANCO
"WAO0002   ",5,38330403123,2009,CINZA
"HAV4318   ",51,30806026318,2005,BRANCO
"FLK4721   ",93,46171771109,2021,VERMELHO
"RKZ6037   ",27,21482285774,2006,BRANCO
"DZI9456   ",89,73687779697,2017,CHUMBO
"IUH6805   ",7,82093544281,2013,CINZA
"LSG8671   ",39,94067332046,2022,CINZA
"KDU3051   ",80,73407318276,2007,CHUMBO
"CLM3498   ",81,43504196950,2005,CINZA
"CUR0940   ",4,97191663195,2000,AMARELO
"ZHQ7016   ",23,90646933000,2007,BRANCO
"RMG7807   ",24,28662951776,2007,CHUMBO
"SCY9601   ",94,63732092587,2020,CHUMBO
"LHV1050   ",39,21966147367,2011,CINZA
"MKG6134   ",12,31414074526,2010,PRATA
"LYG8662   ",99,30447765158,2021,CHUMBO
"LDZ6443   ",72,50204447830,2007,CHUMBO
"QWN2667   ",72,18488140882,2009,PRATA
"AVX0466   ",25,11546107293,2013,CHUMBO
"EKY6194   ",13,21317559789,2015,VERMELHO
"WGK7834   ",32,27121772329,2002,PRATA
"HON6924   ",38,63582104251,2007,CHUMBO
"XAF3792   ",24,17575345441,2011,CHUMBO
"XXI8669   ",42,27577122123,2001,VERMELHO
"YNH1698   ",86,45294677296,2019,PRATA
"UGW1589   ",37,97386653718,2003,CINZA
"RMV5078   ",16,31271069573,2021,CHUMBO
"GVX0003   ",3,50827121622,2010,PRETO
"DTB7680   ",74,50068189974,2004,CINZA
"CSO4494   ",91,93599634619,2004,VERDE
"URR4484   ",81,52912480096,2019,CHUMBO
"TKR5968   ",55,72105054592,2018,CHUMBO
"SQI5746   ",28,18611770646,2022,BRANCO
"HIO2337   ",17,76277851927,2017,CHUMBO
"YLQ9464   ",30,61049010398,2012,CHUMBO
"UCU3124   ",48,61155344231,2013,CHUMBO
"HCK0559   ",65,43147239764,2007,BRANCO
"XHG8339   ",17,78295986488,2001,PRETO
"GSR7240   ",31,23796469330,2013,CHUMBO
"FEY2321   ",43,84646307862,2005,CHUMBO
"HCZ2135   ",47,38744174066,2014,VERMELHO
"AZB6244   ",69,61460280684,2006,CHUMBO
"EHR4444   ",75,67184899676,2024,AMARELO
"BGS2430   ",99,44146219444,2013,CHUMBO
"AWG9965   ",56,81682596446,2004,PRATA
"OXA4100   ",41,84875868206,2020,CHUMBO
"ICC4190   ",73,66157251203,2021,VERDE
"KQW1510   ",16,31011823923,2004,CHUMBO
"JUI6757   ",89,24989042439,2004,VERMELHO
"EQL8425   ",78,84529991854,2010,PRETO
"KNU3662   ",14,65634852511,2013,CHUMBO
"WQV2330   ",34,23325853073,2022,CHUMBO
"UXY6081   ",37,93906940972,2006,CHUMBO
"ZEI9525   ",77,66453440638,2016,PRATA
"VLJ1801   ",32,49970552073,2024,CINZA
"YSM4669   ",1,73558973018,2016,BRANCO
"RVZ5563   ",76,39264668851,2010,AMARELO
"HVX3711   ",31,66749641807,2003,PRETO
"TNO3829   ",78,60820897107,2021,BRANCO
"FDG5787   ",28,59829068657,2019,CINZA
"WHF3305   ",99,69977705423,2001,CHUMBO
"SIP2652   ",35,64596288118,2011,PRATA
"LEA3944   ",73,40092931036,2000,CHUMBO
"TIJ7287   ",95,12394141131,2005,VERMELHO
"BAT5593   ",43,71399164173,2017,BRANCO
"OPU8031   ",42,25481242307,2018,BRANCO
"VOK1612   ",30,89108748156,2007,PRETO
"ISQ5171   ",9,52702126297,2009,CHUMBO
"RLB7858   ",86,34530048037,2002,CHUMBO
"TMB6335   ",30,78368661865,2014,BRANCO
"GJO1867   ",45,27803343451,2006,CHUMBO
"AKH4310   ",95,48519644511,2016,CHUMBO
"OOG7937   ",70,85363649679,2013,PRATA
"KCO2288   ",20,11245747568,2006,CHUMBO
"XTD8547   ",17,42737789105,2001,PRATA
"LTA5636   ",42,33524540530,2012,BRANCO
"UVV2455   ",83,36237937382,2021,BRANCO
"NUL6316   ",48,84710359979,2006,CHUMBO
"RRG6016   ",36,97501252652,2017,PRETO
"VCQ6940   ",3,21891298604,2018,AMARELO
"IWK1700   ",93,78873224161,2019,CHUMBO
"MKJ2047   ",73,93300725005,2016,CHUMBO
"ACU4001   ",79,12034363979,2014,PRATA
"DSJ1013   ",77,87022251001,2012,CHUMBO
"RLC7674   ",79,10066065072,2000,CHUMBO
"WEV3859   ",61,20752926319,2004,BRANCO
"EGX5121   ",80,63419387660,2007,AMARELO
"GEF7527   ",22,81067214114,2019,CHUMBO
"CGN5777   ",32,88274983671,2005,CHUMBO
"PHP5300   ",77,69553898994,2017,CHUMBO
"DYG5095   ",35,77620932631,2021,BRANCO
"YPE5085   ",92,12590739094,2002,CHUMBO
"RGE1464   ",62,33582160417,2007,PRATA
"DZA7703   ",47,34552377302,2007,PRATA
"CAE1142   ",91,91055342752,2006,PRETO
"LJJ6738   ",21,33848379895,2011,PRATA
"XZF8108   ",87,12101745388,2019,CHUMBO
"JSC8478   ",79,75913074132,2006,AMARELO
"QCP4101   ",7,78985162092,2020,CHUMBO
"AHL1101   ",14,66693131643,2024,VERMELHO
"CUA9012   ",3,50595257471,2010,CINZA
"JRU0477   ",19,68010122918,2013,BRANCO
"DIG6766   ",6,30082847636,2019,AMARELO
"CAP8103   ",30,44848675252,2022,CHUMBO
"IFJ9229   ",39,89761545084,2014,CHUMBO
"SLJ0867   ",54,11784843180,2019,CINZA
"NLP9850   ",43,13564263437,2008,BRANCO
"SRQ3531   ",77,64920510744,2008,CHUMBO
"ACS9195   ",6,84389011591,2018,CHUMBO
"TQL2085   ",65,34267815286,2002,VERMELHO
"TLS3171   ",71,23135685203,2004,CHUMBO
"IQS7247   ",27,10520034367,2019,CINZA
"ZIH5547   ",35,13596288427,2021,CHUMBO
"IDG8270   ",42,18840806240,2002,PRATA
"FIB6101   ",81,48059764382,2007,BRANCO
"IOO9134   ",30,29087316481,2003,PRATA
"MXR7367   ",65,63879626157,2005,CHUMBO
"MAZ9328   ",51,55114665329,2003,CHUMBO
"JXP9251   ",27,14126348095,2008,BRANCO
"EFI6059   ",39,33347056031,2020,CINZA
"PXZ4859   ",37,74348952996,2006,CHUMBO
"MJF4157   ",17,80987043639,2016,CHUMBO
"CYF4225   ",80,50755967016,2011,CINZA
"OJC1574   ",33,29776609683,2023,VERMELHO
"RRS1066   ",94,45834521119,2018,CINZA
"FYQ1888   ",37,93641157101,2010,BRANCO
"NWC5934   ",18,91778756420,2007,CINZA
"KJR4789   ",12,66594811162,2011,PRETO
"PFS4659   ",77,74803463217,2018,CHUMBO
"ZMK0469   ",53,70132415746,2011,CHUMBO
"RIX2349   ",76,49059010984,2022,AMARELO
"JOQ9841   ",45,44508118308,2019,PRETO
"ZUK1866   ",62,64050003180,2008,VERDE
"TBP9092   ",25,11675933882,2011,CHUMBO
"EJX5580   ",25,84904568388,2023,VERMELHO
"XHA5241   ",84,80358271928,2000,CHUMBO
"JAU3141   ",39,56722385354,2019,CINZA
"GDO5022   ",74,74118290978,2003,CINZA
"PZE7690   ",29,78879394247,2020,CHUMBO
"ZOU3697   ",4,72262476251,2017,PRATA
"CKW2737   ",67,85630120112,2008,BRANCO
"GFI2922   ",62,44745936628,2020,VERDE
"GNH1994   ",25,56182160574,2018,PRETO
"CRW4451   ",7,25838816276,2000,VERMELHO
"VQF7563   ",30,92698043352,2004,CINZA
"FLT4784   ",3,24612726995,2020,VERMELHO
"XWC2473   ",72,48660928533,2023,PRATA
"QUC6457   ",55,43543880066,2008,CHUMBO
"SEZ2283   ",1,17029301357,2002,CHUMBO
"FTY8607   ",66,96695995020,2016,BRANCO
"UVV1600   ",6,17778505722,2022,VERMELHO
"ABI0986   ",46,68551695508,2017,CINZA
"FBO4300   ",45,35971365696,2010,CHUMBO
"NGU2238   ",91,66816597206,2024,CHUMBO
"WBA0826   ",22,78689222606,2021,CHUMBO
"QSL8684   ",10,68751068803,2006,VERMELHO
"URS5399   ",33,32394302757,2021,PRETO
"KWE4479   ",38,33869364074,2013,CHUMBO
"ZYL3766   ",95,72927436033,2022,CINZA
"VIE3056   ",88,29168424681,2007,VERMELHO
"PDF5707   ",99,30214920827,2022,BRANCO
"KDL1105   ",4,21480846475,2006,CHUMBO
"UVR6687   ",80,10202572667,2004,VERMELHO
"VKP7854   ",42,84187587957,2024,VERDE
"QHO3634   ",56,28268736358,2023,VERDE
"TGT8632   ",60,19584596315,2005,BRANCO
"UHP0569   ",23,47524704908,2024,VERMELHO
"SBA1728   ",12,11217914326,2013,PRETO
"AVI6046   ",24,79957672392,2000,AMARELO
"MPS7986   ",40,42971660094,2004,VERMELHO
"VVF4067   ",11,48196648827,2015,PRETO
"UCR7423   ",23,50261308064,2005,CHUMBO
"LKC8902   ",34,99035706460,2005,PRATA
"NGV2385   ",24,81197772821,2010,PRATA
"FLI7286   ",76,49226124890,2008,CHUMBO
"QDF7046   ",76,69530913594,2015,PRETO
"MSX7537   ",55,22236485335,2000,CHUMBO
"YEG6353   ",28,84433808003,2004,PRETO
"GYO5840   ",26,94355817422,2018,AMARELO
"TBD7957   ",71,12001760344,2004,AMARELO
"KPZ6750   ",98,98891758291,2019,PRETO
"NTL2550   ",14,88601526911,2009,CHUMBO
"POI9767   ",14,79534939057,2024,CHUMBO
"FOH2978   ",21,65278474178,2012,BRANCO
"ULW3833   ",88,91856953502,2014,CINZA
"SNS7509   ",48,90417891413,2016,CHUMBO
"EUY4420   ",83,57815053592,2003,CHUMBO
"KEZ2553   ",13,78097215893,2018,BRANCO
"IMH3906   ",7,68832076673,2023,PRATA
"UGL5997   ",54,60257888804,2024,CHUMBO
"TGP3154   ",59,19009943035,2016,BRANCO
"IXH6688   ",84,54272108730,2003,CHUMBO
"SVX6540   ",62,56003956656,2022,CINZA
"URB6830   ",12,35106753124,2009,BRANCO
"JVF4076   ",96,31029722933,2018,AMARELO
"GWU4270   ",27,54750222181,2004,PRETO
"UDJ6315   ",93,56865446257,2013,CHUMBO
"MCD8179   ",71,49720193545,2011,CHUMBO
"UOF2260   ",6,52788426417,2019,BRANCO
"YYZ8973   ",12,82377278626,2015,PRATA
"WXH6101   ",64,61446885900,2012,CHUMBO
"OXJ4258   ",20,77519049757,2019,PRATA
"ZZG3743   ",95,64829001314,2023,PRETO
"DHC5625   ",50,93538137306,2001,CHUMBO
"EAY8827   ",69,40855776991,2016,PRETO
"XML3277   ",98,50028019660,2000,VERDE
"CCN0997   ",8,81771634347,2004,AMARELO
"VLF8382   ",59,17526983116,2009,PRATA
"BJH1727   ",57,62652460640,2009,AMARELO
"WGW2044   ",92,58935202404,2022,PRATA
"PCX5986   ",32,79202236039,2011,PRATA
"KHT3248   ",96,90144360778,2021,CHUMBO
"FLN5257   ",39,79679021252,2003,CHUMBO
"ALE5655   ",18,86974197130,2017,PRATA
"PMB0907   ",11,20496184176,2001,PRATA
"QQM9473   ",32,16608752052,2000,BRANCO
"KZF7778   ",3,41448393739,2011,VERMELHO
"FJV2097   ",9,51672915815,2020,BRANCO
"GIG6683   ",84,45811046844,2011,CHUMBO
"LFO5624   ",74,91314789945,2024,CHUMBO
"XMU6702   ",76,79464704699,2013,CINZA
"YJR6824   ",23,43063812542,2021,PRETO
"CJI7534   ",86,66553536281,2006,CHUMBO
"MPJ5774   ",19,90282938493,2018,CHUMBO
"QVB9089   ",52,96898379976,2004,CHUMBO
"FWN2732   ",86,48009509674,2011,PRATA
"RGG9392   ",87,60222529577,2013,CHUMBO
"DLM5490   ",66,28194748123,2008,CINZA
"ZHV3996   ",74,97975860875,2020,CHUMBO
"BTX9459   ",29,77834303705,2008,CHUMBO
"BZM3647   ",18,86571789701,2006,BRANCO
"MHA9574   ",22,48251780168,2018,CHUMBO
"ETZ1155   ",12,34467149480,2024,VERMELHO
"OMQ9914   ",96,39615669606,2021,CHUMBO
"XHN2576   ",43,93238115497,2017,CHUMBO
"BNI6812   ",61,44094595553,2018,CHUMBO
"ZIF9846   ",94,20186976933,2018,PRATA
"GAO5277   ",34,69943513082,2023,PRETO
"WRH3808   ",42,29732733352,2002,CHUMBO
"LLY8634   ",80,94891834654,2014,CINZA
"ARZ7869   ",60,67799808808,2020,CINZA
"WFP2551   ",51,71508292532,2009,BRANCO
"LGP1700   ",72,23094522429,2022,BRANCO
"IDW5276   ",35,77205397716,2000,BRANCO
"EHU8753   ",75,41204191719,2012,CHUMBO
"AUJ7674   ",25,84312918074,2015,PRATA
"WMH6333   ",20,38022864423,2022,VERMELHO
"DLO7218   ",20,61442337963,2000,CHUMBO
"TNF9265   ",54,66888343407,2008,BRANCO
"WCD6484   ",62,80395838613,2008,CHUMBO
"GUL4082   ",2,47706776823,2021,CINZA
"EOS3149   ",83,91083449328,2010,BRANCO
"HSF8815   ",10,84118893942,2017,BRANCO
"GHL6353   ",66,73935745736,2021,CINZA
"AQU1851   ",76,41655213978,2011,VERMELHO
"UGT4564   ",2,40035328752,2000,CHUMBO
"RQB4586   ",44,61778382594,2021,PRATA
"ANB8479   ",53,85441609931,2022,CHUMBO
"HPB9967   ",23,77313536340,2023,PRATA
"KRC6049   ",60,11273888216,2017,CINZA
"EAP1376   ",11,33716361647,2024,PRATA
"HJD2375   ",34,10520683001,2016,BRANCO
"KIP5674   ",95,75727677660,2011,PRETO
"MAU4297   ",78,77494149804,2006,BRANCO
"KLO9759   ",25,49606167221,2004,CHUMBO
"BGB7917   ",26,36348627625,2013,CHUMBO
"OBA9697   ",53,28543881599,2023,BRANCO
"KBU4111   ",71,65142628754,2014,AMARELO
"LSC9719   ",13,87735389084,2007,BRANCO
"JEX1093   ",76,55096079758,2019,AMARELO
"ZME0568   ",16,81955066393,2009,PRETO
"YBY6576   ",82,58131155328,2011,PRETO
"OEC2993   ",38,72490847580,2023,PRETO
"AWR9477   ",9,19805469025,2019,BRANCO
"DFV0668   ",83,85683107781,2006,CINZA
"ISN1278   ",78,96521095877,2023,CHUMBO
"NYI4134   ",74,22956364689,2022,CINZA
"XFZ5900   ",61,16959861185,2009,PRETO
"NLB8798   ",51,44785940729,2016,CHUMBO
"UFQ8140   ",65,63105765585,2024,CHUMBO
"LPU4286   ",46,65770921732,2000,PRATA
